SNR,PDR,NoisePower,TXPower,Jammed
0,0.02,-100,-10,0
0.0462249614791984,0.05,-100,-10,0
0.0770416024653313,0.01,-100,-10,0
0.0770416024653313,0.01,-100,-10,0
0.0770416024653313,0.01,-100,-10,0
0.138674884437595,0.05,-100,-10,0
0.154083204930663,0.04,-100,-10,0
0.231124807395994,0.01,-100,-10,0
0.231124807395994,0.01,-100,-10,0
0.231124807395994,0.01,-100,-10,0
0.231124807395994,0.01,-100,-10,0
0.231124807395994,0.01,-100,-10,0
0.231124807395994,0.02,-100,-10,0
0.231124807395994,0.03,-100,-10,0
0.252696456086287,0.07,-100,-10,0
0.281972265023112,0.03,-100,-10,0
0.281972265023112,0.03,-100,-10,0
0.281972265023112,0.03,-100,-10,0
0.308166409861325,0.02,-100,-10,0
0.308166409861325,0.04,-100,-10,0
0.308166409861325,0.0600000000000001,-100,-10,0
0.322033898305083,0.17,-100,-10,0
0.326656394453003,0.13,-100,-10,0
0.328197226502311,0.08,-100,-10,0
0.345146379044684,0.27,-100,-10,0
0.346687211093991,0.04,-100,-10,0
0.355932203389831,0.22,-100,-10,0
0.357473035439139,0.55,-100,-10,0
0.362095531587059,0.13,-100,-10,0
0.365177195685671,0.08,-100,-10,0
0.366718027734976,0.17,-100,0,0
0.372881355932204,0.12,-100,-10,0
0.374422187981509,0.14,-100,-10,0
0.374422187981511,0.14,-100,-10,0
0.377503852080124,0.19,-100,-10,0
0.379044684129429,0.23,-100,-10,0
0.382126348228044,0.53,-100,-10,0
0.385208012326657,0.01,-100,0,0
0.385208012326657,0.01,-100,-10,0
0.385208012326657,0.01,-100,-10,0
0.385208012326657,0.01,-100,-10,0
0.385208012326657,0.01,-100,-10,0
0.385208012326657,0.01,-100,-10,0
0.385208012326657,0.01,-100,-10,0
0.385208012326657,0.01,-100,-10,0
0.385208012326657,0.01,-100,-10,0
0.385208012326657,0.02,-100,-10,0
0.385208012326657,0.04,-100,-10,0
0.385208012326657,0.04,-100,-10,0
0.385208012326657,0.13,-100,-10,0
0.385208012326657,0.2,-100,-10,0
0.385208012326657,0.24,-100,-10,0
0.385208012326657,0.28,-100,-10,0
0.386748844375962,0.62,-100,-10,0
0.391371340523882,0.25,-100,-10,0
0.391371340523882,0.8,-100,-10,0
0.394453004622497,0.36,-100,-10,0
0.395993836671804,0.15,-100,-10,0
0.399075500770417,0.11,-100,-10,0
0.399075500770417,0.23,-100,-10,0
0.399075500770417,0.32,-100,-10,0
0.400616332819722,0.32,-100,-10,0
0.400616332819724,0.1,-100,-10,0
0.40677966101695,0.07,-100,-10,0
0.40677966101695,0.14,-100,-10,0
0.412942989214175,0.54,-100,-10,0
0.417565485362095,0.19,-100,-10,0
0.417565485362097,0.19,-100,-10,0
0.419106317411402,0.18,-100,-10,0
0.422187981510015,0.34,-100,-10,0
0.422187981510015,0.41,-100,-10,0
0.422187981510017,0.29,-100,-10,0
0.422187981510017,0.34,-100,-10,0
0.423728813559322,0.04,-100,-10,0
0.423728813559322,0.12,-100,-10,0
0.426810477657935,0.3,-100,-10,0
0.426810477657937,0.56,-100,-10,0
0.428351309707242,0.14,-100,0,0
0.429892141756548,0.4,-100,0,0
0.42989214175655,0.42,-100,-10,0
0.42989214175655,0.58,-100,-10,0
0.431432973805855,0.23,-100,-10,0
0.431432973805857,0.33,-100,-10,0
0.43297380585516,0.23,-100,-10,0
0.432973805855162,0.13,-100,-10,0
0.432973805855162,0.32,-100,-10,0
0.436055469953775,0.03,-100,-10,0
0.436055469953775,0.0600000000000001,-100,-10,0
0.436055469953775,0.0600000000000001,-100,-10,0
0.436055469953775,0.27,-100,-10,0
0.436055469953775,0.64,-100,0,0
0.437596302003083,0.42,-100,0,0
0.437596302003083,0.44,-100,-10,0
0.439137134052388,0.54,-100,-10,0
0.442218798151003,0.19,-100,-10,0
0.442218798151003,0.24,-100,-10,0
0.445300462249615,0.21,-100,-10,0
0.445300462249615,0.23,-100,-10,0
0.44684129429892,0.05,-100,-10,0
0.44684129429892,0.1,-100,-10,0
0.446841294298923,0.1,-100,-10,0
0.448382126348228,0.27,-100,-10,0
0.448382126348228,0.88,-100,-10,0
0.449922958397535,0.12,-100,-10,0
0.451463790446841,0.33,-100,-10,0
0.451463790446843,0.21,-100,-10,0
0.453004622496148,0.18,-100,-10,0
0.453004622496148,0.55,-100,0,0
0.456086286594761,0.13,-100,-10,0
0.457627118644068,0.21,-100,-10,0
0.462249614791988,0.02,-100,-10,0
0.462249614791988,0.1,-100,0,0
0.462249614791988,0.1,-100,0,0
0.462249614791988,0.42,-100,-10,0
0.465331278890601,0.44,-100,-10,0
0.466872110939906,0.19,-100,-10,0
0.469953775038521,0.29,-100,-10,0
0.473035439137133,0.72,-100,0,0
0.476117103235746,0.24,-100,-10,0
0.477657935285053,0.05,-100,-10,0
0.477657935285053,0.05,-100,-10,0
0.477657935285053,0.15,-100,-10,0
0.479198767334361,0.8,-100,-10,0
0.480739599383666,0.13,-100,-10,0
0.480739599383666,0.47,-100,-10,0
0.483821263482281,0.41,-100,-10,0
0.486902927580896,0.26,-100,-10,0
0.488443759630201,0.03,-100,-10,0
0.488443759630201,0.0600000000000001,-100,-10,0
0.491525423728816,0.13,-100,-10,0
0.493066255778119,0.43,-100,-10,0
0.493066255778121,0.1,-100,-10,0
0.493066255778121,0.5,-100,-10,0
0.494607087827426,0.17,-100,0,0
0.494607087827426,0.24,-100,-10,0
0.496147919876734,0.46,-100,-10,0
0.496147919876736,0.14,-100,0,0
0.496147919876736,0.14,-100,-10,0
0.499229583975346,0.19,-100,-10,0
0.500770416024654,0.04,-100,-10,0
0.500770416024654,0.04,-100,-10,0
0.500770416024654,0.04,-100,-10,0
0.500770416024654,0.4,-100,-10,0
0.502311248073961,0.55,-100,-10,0
0.503852080123266,0.31,-100,-10,0
0.505392912172574,0.14,-100,-10,0
0.508474576271186,0.05,-100,-10,0
0.508474576271189,0.05,-100,-10,0
0.511556240369801,0.59,-100,-10,0
