Scenario,Distance,Bearing,Speed,Txlat,Txlong,Rxlat,Rxlong,RSS,RFRSS
Tourstotal_RF_VLC,10.1041972116204,7.93128077168006,1.85,41.2086016666667,29.07605,41.2085116666667,29.0760333333333,-36.6279144287,-57.2042207997387
Tourstotal_RF_VLC,10.8218373651136,6.65850614300364,0,41.2086016666667,29.076045,41.208505,29.07603,-36.6265029907,-52.9069457175635
Tourstotal_RF_VLC,9.92067807807065,8.07897063182384,0,41.2085933333333,29.0760416666667,41.208505,29.076025,-36.6277503967,-56.1170659992224
Tourstotal_RF_VLC,10.8388883881348,7.39056533443655,1.85,41.208585,29.0760383333333,41.2084883333333,29.0760216666667,-36.6131782532,-56.7459073670622
Tourstotal_RF_VLC,11.0614289452987,8.6995650082213,0,41.20857,29.0760333333333,41.2084716666667,29.0760133333333,-36.6953887939,-57.0557189076155
Tourstotal_RF_VLC,10.1041973530365,7.93128655663598,1.85,41.2085533333333,29.0760216666667,41.2084633333333,29.076005,-37.2260971069,-56.4069192088195
Tourstotal_RF_VLC,9.18732662931562,8.72870365405635,1.85,41.2085283333333,29.0760133333333,41.2084466666667,29.0759966666667,-38.3867340088,-57.066751780987
Tourstotal_RF_VLC,8.96524841247375,7.14680980332664,0,41.2085116666667,29.0760016666667,41.2084316666667,29.0759883333333,-39.4323272705,-56.6702807087388
Tourstotal_RF_VLC,8.27262977789458,9.70268725893408,0,41.2084883333333,29.0759933333333,41.208415,29.0759766666667,-40.2350502014,-56.6287114127038
Tourstotal_RF_VLC,8.32416441586118,11.5948987608944,0,41.2084716666667,29.07598,41.2083983333333,29.07596,-41.2037010193,-55.8219020953955
Tourstotal_RF_VLC,7.52415829139606,16.1379742395593,0,41.2084466666667,29.0759683333333,41.2083816666667,29.0759433333333,-42.5421142578,-56.9878826956667
Tourstotal_RF_VLC,7.60638198577447,18.1560666962926,1.85,41.2084316666667,29.0759516666667,41.2083666666667,29.0759233333333,-43.1057777405,-59.1887734329665
Tourstotal_RF_VLC,6.05474632690389,27.4221176965072,0,41.2084066666667,29.0759366666667,41.2083583333333,29.0759033333333,-42.1418266296,-56.9737844492037
Tourstotal_RF_VLC,6.40575533634691,32.9654610158559,0,41.2083983333333,29.07592,41.20835,29.0758783333333,-42.1261558533,-59.6982710794608
Tourstotal_RF_VLC,5.15457067573096,46.9123487775292,0,41.2083816666667,29.0759,41.20835,29.075855,-42.8070983887,-57.3799942347362
Tourstotal_RF_VLC,5.36159986820064,48.9483605442227,1.85,41.2083816666667,29.0758783333333,41.20835,29.07583,-46.6656188965,-56.9216037491128
Tourstotal_RF_VLC,4.76312721719346,69.5020518957436,1.85,41.2083733333333,29.0758583333333,41.2083583333333,29.075805,-49.4406547546,-56.6112523892732
Tourstotal_RF_VLC,5.02526742975637,70.6154253261304,1.85,41.2083733333333,29.0758383333333,41.2083583333333,29.0757816666667,-56.6846427917,-54.3034970210998
Tourstotal_RF_VLC,5.0736877353918,81.5986517566225,1.85,41.2083733333333,29.0758133333333,41.2083666666667,29.0757533333333,-82.0470275879,-55.8554455423634
Tourstotal_RF_VLC,5.95472209309583,73.7337868362297,1.85,41.2083816666667,29.0757933333333,41.2083666666667,29.075725,-80.1712722778,-57.016009677263
Tourstotal_RF_VLC,6.35732866497105,74.7897402481191,1.85,41.2083816666667,29.0757733333333,41.2083666666667,29.0757,-68.3940963745,-55.668571356277
Tourstotal_RF_VLC,6.61808871644183,81.9513754202729,1.85,41.2083816666667,29.0757533333333,41.2083733333333,29.075675,-48.2912406921,-55.1763674910365
Tourstotal_RF_VLC,6.75616688485548,82.1169260994,1.85,41.2083816666667,29.0757316666667,41.2083733333333,29.0756516666667,-46.1546592712,-58.9957044272168
Tourstotal_RF_VLC,7.11059043972365,-89.9999720013323,0,41.2083816666667,29.0757083333333,41.2083816666667,29.0756233333333,-44.4243278503,-57.7264067763583
Tourstotal_RF_VLC,7.17071284535581,82.5753061377163,1.85,41.20839,29.0756833333333,41.2083816666667,29.0755983333333,-42.9434661865,-56.098452916822
Tourstotal_RF_VLC,7.52885950618095,-89.9999703540221,0,41.20839,29.07566,41.20839,29.07557,-41.9158782959,-55.7424249394082
Tourstotal_RF_VLC,7.80770615442003,-89.9999692561155,0,41.20839,29.075635,41.20839,29.0755416666667,-41.172492981,-56.4637509801442
Tourstotal_RF_VLC,8.08655177378504,-89.9999681587484,1.85,41.2083983333333,29.07561,41.2083983333333,29.0755133333333,-41.0554924011,-68.3676005838389
Tourstotal_RF_VLC,8.50482169260493,-89.9999665106277,1.85,41.2083983333333,29.0755816666667,41.2083983333333,29.07548,-41.6890106201,-57.0772249823267
Tourstotal_RF_VLC,8.97107499250567,84.0713668859568,3.7,41.2084066666667,29.07555,41.2083983333333,29.0754433333333,-42.2607879639,-59.1863758171992
Tourstotal_RF_VLC,9.89905349597004,-89.9999610211195,1.85,41.2084066666667,29.0755216666667,41.2084066666667,29.0754033333333,-41.9318008423,-62.2156570556912
Tourstotal_RF_VLC,9.89905349597004,-89.9999610211195,0,41.2084066666667,29.0754883333333,41.2084066666667,29.07537,-42.5223197937,-56.1600078337465
Tourstotal_RF_VLC,10.1778987768767,-89.9999599229156,0,41.208415,29.075455,41.208415,29.0753333333333,-43.2493553162,-62.0001498905667
Tourstotal_RF_VLC,10.1778987768767,-89.9999599229156,0,41.208415,29.0754233333333,41.208415,29.0753016666667,-43.9998245239,-60.0069800562269
Tourstotal_RF_VLC,10.2199923222445,84.798012834629,1.85,41.2084233333333,29.0753866666667,41.208415,29.075265,-45.3481559753,-58.053350151017
